,Year,Country,Winner,GoalsScored,QualifiedTeams,MatchesPlayed,Attendance
0,1930,Uruguay,Uruguay,70,13,18,590549
1,1934,Italy,Italy,70,16,17,363000
2,1938,France,Italy,84,15,18,375700
3,1950,Brazil,Uruguay,88,13,22,1045246
4,1954,Switzerland,Germany,140,16,26,768607
5,1958,Sweden,Brazil,126,16,35,819810
6,1962,Chile,Brazil,89,16,32,893172
7,1966,England,England,89,16,32,1563135
8,1970,Mexico,Brazil,95,16,32,1603975
9,1974,Germany,Germany,97,16,38,1865753
10,1978,Argentina,Argentina,102,16,38,1545791
11,1982,Spain,Italy,146,24,52,2109723
12,1986,Mexico,Argentina,132,24,52,2394031
13,1990,Italy,Germany,115,24,52,2516215
14,1994,USA,Brazil,141,24,52,3587538
15,1998,France,France,171,32,64,2785100
16,2002,Korea/Japan,Brazil,161,32,64,2705197
17,2006,Germany,Italy,147,32,64,3359439
18,2010,South Africa,Spain,145,32,64,3178856
19,2014,Brazil,Germany,171,32,64,3386810
20,2018,Russia,France,169,32,64,3031768
21,2022,Qatar,Argentina,172,32,64,3404252
